,Unnamed: 0,"Activity, Exercise or Sport (1 hour)",Calories per kg
142,142,"carrying infant, level ground",0.721008179104478
143,143,"carrying infant, upstairs",1.02972154029851
144,144,"carrying 16 to 24 lbs, upstairs",1.23485344477612
145,145,"carrying 25 to 49 lbs, upstairs",1.64782526567164
146,146,"standing, playing with children, light",0.576806543283582
147,147,"walk/run, playing with children, moderate",0.823235629850746
148,148,"walk/run, playing with children, vigorous",1.02972154029851
149,149,carrying small children,0.61742672238806
150,150,"loading, unloading car",0.61742672238806
151,151,"climbing hills, carrying up to 9 lbs",1.44133935522388
152,152,"climbing hills, carrying 10 to 20 lb",1.5449208119403
153,153,"climbing hills, carrying 21 to 42 lb",1.64782526567164
154,154,"climbing hills, carrying over 42 lb",1.85295717014925
155,155,walking downstairs,0.61742672238806
156,156,"hiking, cross country",1.23485344477612
157,157,bird watching,0.515199271641791
158,158,"marching, rapidly, military",1.33843490149254
159,159,"children's games, hopscotch, dodgeball",1.02972154029851
160,160,pushing stroller or walking with children,0.515199271641791
161,161,pushing a wheelchair,0.823235629850746
162,162,race walking,1.33843490149254
163,163,"rock climbing, mountain climbing",1.64782526567164
164,164,walking using crutches,1.02972154029851
165,165,walking the dog,0.61742672238806
166,166,"walking, under 2.0 mph, very slow",0.411617814925373
167,167,"walking 2.0 mph, slow",0.515199271641791
168,168,walking 2.5 mph,0.61742672238806
169,169,"walking 3.0 mph, moderate",0.679710997014925
170,170,"walking 3.5 mph, brisk pace",0.782615450746269
171,171,"walking 3.5 mph, uphill",1.23485344477612
172,172,"walking 4.0 mph, very brisk",1.02972154029851
173,173,walking 4.5 mph,1.29713771940299
174,174,walking 5.0 mph,1.64782526567164
175,175,"boating, power, speed boat",0.515199271641791
176,176,"canoeing, camping trip",0.823235629850746
177,177,"canoeing, rowing, light",0.61742672238806
178,178,"canoeing, rowing, moderate",1.44133935522388
179,179,"canoeing, rowing, vigorous",2.47106089552239
180,180,"crew, sculling, rowing, competition",2.47106089552239
181,181,kayaking,1.02972154029851
182,182,paddle boat,0.823235629850746
183,183,"windsurfing, sailing",0.61742672238806
184,184,"sailing, competition",1.02972154029851
185,185,"sailing, yachting, ocean sailing",0.61742672238806
186,186,"skiing, water skiing",1.23485344477612
187,187,ski mobiling,1.44133935522388
188,188,"skin diving, fast",3.29497352835821
189,189,"skin diving, moderate",2.57464235223881
190,190,"skin diving, scuba diving",1.44133935522388
191,191,snorkeling,1.02972154029851
192,192,"surfing, body surfing or board surfing",0.61742672238806
193,193,"whitewater rafting, kayaking, canoeing",1.02972154029851
194,194,"swimming laps, freestyle, fast",2.05944308059702
195,195,"swimming laps, freestyle, slow",1.44133935522388
196,196,swimming backstroke,1.44133935522388
197,197,swimming breaststroke,2.05944308059702
198,198,swimming butterfly,2.2652519880597
199,199,"swimming leisurely, not laps",1.23485344477612
200,200,swimming sidestroke,1.64782526567164
201,201,swimming synchronized,1.64782526567164
202,202,"swimming, treading water, fast, vigorous",2.05944308059702
203,203,"swimming, treading water, moderate",0.823235629850746
204,204,"water aerobics, water calisthenics",0.823235629850746
205,205,water polo,2.05944308059702
206,206,water volleyball,0.61742672238806
207,207,water jogging,1.64782526567164
208,208,"diving, springboard or platform",0.61742672238806
209,209,"ice skating, < 9 mph",1.13262599402985
210,210,"ice skating, average speed",1.44133935522388
211,211,"ice skating, rapidly",1.85295717014925
212,212,"speed skating, ice, competitive",3.08916462089552
213,213,"cross country snow skiing, slow",1.44133935522388
214,214,"cross country skiing, moderate",1.64782526567164
215,215,"cross country skiing, vigorous",1.85295717014925
216,216,"cross country skiing, racing",2.88267871044776
217,217,"cross country skiing, uphill",3.39787798208955
218,218,"snow skiing, downhill skiing, light",1.02972154029851
219,219,"downhill snow skiing, moderate",1.23485344477612
220,220,"downhill snow skiing, racing",1.64782526567164
221,221,"sledding, tobagganing, luge",1.44133935522388
222,222,snow shoeing,1.64782526567164
223,223,snowmobiling,0.721008179104478
224,224,general housework,0.721008179104478
225,225,cleaning gutters,1.02972154029851
226,226,painting,0.927494089552239
227,227,"sit, playing with animals",0.515199271641791
228,228,"walk / run, playing with animals",0.823235629850746
229,229,bathing dog,0.721008179104478
230,230,"mowing lawn, walk, power mower",1.13262599402985
231,231,"mowing lawn, riding mower",0.515199271641791
